user_id,item_id,rating,timestamp
195,241,3.0,881250949.0
185,300,3.0,891717742.0
21,373,1.0,878887116.0
243,50,2.0,880606923.0
165,343,1.0,886397596.0
297,470,4.0,884182806.0
114,264,2.0,881171488.0
252,461,5.0,891628467.0
304,447,3.0,886324817.0
5,85,3.0,883603013.0
61,256,2.0,879372434.0
285,1004,5.0,879781125.0
199,221,5.0,876042340.0
209,39,3.0,891035994.0
223,28,3.0,888104457.0
302,778,3.0,879485318.0
121,383,5.0,879270459.0
193,272,2.0,879539794.0
290,1032,4.0,874834944.0
233,1174,2.0,892079237.0
118,388,4.0,886176814.0
166,482,4.0,892738452.0
298,143,4.0,877881320.0
290,117,2.0,874833878.0
307,0,4.0,887736532.0
94,541,2.0,879196566.0
37,94,5.0,892430094.0
101,761,2.0,883748450.0
62,275,4.0,875747401.0
159,233,5.0,876861185.0
49,245,3.0,877052329.0
300,97,4.0,882075827.0
224,192,4.0,879539727.0
289,87,4.0,880731963.0
96,193,3.0,884238860.0
156,272,4.0,886890835.0
180,1071,1.0,878962623.0
277,598,5.0,891295330.0
275,789,1.0,874791932.0
6,31,4.0,891350932.0
9,15,4.0,877888877.0
283,301,4.0,885329322.0
200,970,2.0,884114233.0
275,559,3.0,874791805.0
286,324,5.0,875333916.0
245,200,5.0,884921594.0
241,1127,5.0,879741196.0
248,240,5.0,879641194.0
98,3,5.0,886519097.0
177,329,3.0,882823437.0
250,99,4.0,886271884.0
80,428,2.0,876535131.0
259,319,4.0,890618898.0
24,180,5.0,885853415.0
58,195,5.0,888205088.0
71,673,2.0,880037164.0
86,380,4.0,879877127.0
289,142,5.0,880474293.0
41,419,5.0,881107687.0
291,510,4.0,881103977.0
114,19,3.0,881171009.0
19,286,1.0,879667584.0
200,218,4.0,884112673.0
12,521,3.0,882141053.0
245,910,4.0,884920949.0
137,25,5.0,879024232.0
166,231,1.0,892738341.0
59,423,5.0,883326620.0
56,301,5.0,883698581.0
222,272,4.0,891550094.0
188,507,4.0,893277702.0
242,14,3.0,879987440.0
91,1039,1.0,890251826.0
245,412,3.0,884923047.0
193,164,4.0,879546723.0
240,683,2.0,887249482.0
177,247,4.0,882823954.0
253,1432,3.0,886475558.0
292,4,3.0,888906576.0
126,228,5.0,884364867.0
224,236,5.0,879539643.0
298,228,3.0,878192429.0
224,476,5.0,879540748.0
275,53,3.0,874791025.0
290,143,5.0,874835091.0
221,362,4.0,878183381.0
266,513,5.0,878971773.0
41,399,3.0,881108684.0
10,110,4.0,891903862.0
94,620,4.0,888954412.0
7,335,4.0,879361873.0
161,24,4.0,877635573.0
86,1006,4.0,879876194.0
278,153,5.0,875296291.0
144,273,2.0,885557505.0
118,1143,5.0,874781198.0
61,494,4.0,879373848.0
61,378,3.0,879375537.0
27,208,4.0,881961214.0
134,22,4.0,879857765.0
31,292,3.0,883709863.0
89,378,5.0,891383835.0
285,207,4.0,877531942.0
292,678,3.0,888905170.0
215,143,4.0,880234639.0
165,325,5.0,886397722.0
249,492,4.0,878090499.0
270,131,5.0,885848672.0
159,173,5.0,876860807.0
264,117,4.0,875320714.0
197,494,3.0,884207492.0
41,95,5.0,881107178.0
167,150,5.0,884288058.0
109,304,4.0,886987260.0
57,143,4.0,884304936.0
89,643,4.0,891384754.0
270,343,4.0,885844430.0
61,20,3.0,879373460.0
278,825,3.0,881375854.0
236,509,4.0,879376641.0
93,782,4.0,891720887.0
127,481,3.0,879966895.0
297,314,4.0,884182806.0
43,194,5.0,878347874.0
263,199,5.0,886122352.0
193,381,2.0,879524643.0
71,194,5.0,880037702.0
221,743,5.0,883815120.0
249,263,3.0,878089182.0
40,264,3.0,890687042.0
223,244,3.0,888082216.0
81,134,3.0,878769629.0
261,1137,4.0,879791710.0
292,467,3.0,888904884.0
215,653,3.0,880245029.0
249,139,3.0,878092059.0
58,22,5.0,888205300.0
285,375,5.0,877533771.0
243,808,4.0,880605185.0
6,475,4.0,891352010.0
173,364,1.0,886434402.0
86,272,4.0,879876734.0
193,1201,2.0,879551380.0
81,1124,2.0,884714402.0
12,829,2.0,882139746.0
12,270,4.0,884538403.0
243,749,2.0,880605157.0
304,423,5.0,886323090.0
94,780,2.0,888954930.0
42,13,2.0,883955745.0
298,946,4.0,889502823.0
56,415,3.0,883698454.0
83,401,3.0,883452363.0
268,499,4.0,891449922.0
298,110,3.0,877878184.0
193,462,4.0,879525876.0
159,134,4.0,876860807.0
9,482,4.0,877886846.0
258,116,4.0,874724988.0
84,423,3.0,879456350.0
